,index,project_name,publication_year,publication_doi,site_name,latitude,longitude,geo_loc_name,sample_name,sample_host,sample_age,sample_age_doi,community_type,material,collection_date,archive,archive_project,archive_accession,SRR_accession
68,121,Mann2018,2018,10.1038/s41598-018-28091-9,Samdzong,29.27,84.03,Nepal,S40,Homo sapiens,1400,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078162,SRR6877324
69,122,Mann2018,2018,10.1038/s41598-018-28091-9,Samdzong,29.27,84.03,Nepal,S41,Homo sapiens,1400,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078206,SRR6877282
70,123,Mann2018,2018,10.1038/s41598-018-28091-9,Middenbeemster,52.548,4.912,Netherlands,S454,Homo sapiens,300,10.1038/s41598-018-28091-9,oral,dental calculus,,SRA,PRJNA445215,SRS3078095,SRR6877393
71,124,Mann2018,2018,10.1038/s41598-018-28091-9,Camino del Molino,38.102,-1.865,Spain,C214,Homo sapiens,4700,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078202,SRR6877287
72,125,Mann2018,2018,10.1038/s41598-018-28091-9,Camino del Molino,38.102,-1.865,Spain,C53,Homo sapiens,4700,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078203,SRR6877285
73,126,Mann2018,2018,10.1038/s41598-018-28091-9,Anse a la Gourde,16.254,-61.203,Guadeloupe,F1948,Homo sapiens,800,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078196,SRR6877291
74,127,Mann2018,2018,10.1038/s41598-018-28091-9,Anse a la Gourde,16.254,-61.203,Guadeloupe,F349A,Homo sapiens,800,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078161,SRR6877325
75,128,Mann2018,2018,10.1038/s41598-018-28091-9,Kh̦vsg̦l,49.66,99.61,Mongolia,H10,Homo sapiens,4400,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078189,SRR6877298
76,129,Mann2018,2018,10.1038/s41598-018-28091-9,Kh̦vsg̦l,49.66,99.61,Mongolia,H24,Homo sapiens,4400,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078180,SRR6877306
77,130,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT01,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078177,SRR6877309
78,131,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT02,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078179,SRR6877307
79,132,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT03,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078184,SRR6877302
80,133,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT04,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078114,SRR6877373
81,134,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT05,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078110,SRR6877377
82,134,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT05,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078116,SRR6877371
83,135,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT06,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078112,SRR6877375
84,136,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT07,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078108,SRR6877379
85,137,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT08,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078098,SRR6877389
86,137,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT08,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078100,SRR6877387
87,138,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT09,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078102,SRR6877385
88,138,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT09,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078103,SRR6877383
89,139,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT10,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078106,SRR6877381
90,140,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT11,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078132,SRR6877355
91,141,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT12,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078130,SRR6877357
92,142,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT13,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078135,SRR6877353
93,142,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT13,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078136,SRR6877351
94,143,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT14,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078121,SRR6877366
95,143,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT14,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078128,SRR6877359
96,144,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT15,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078123,SRR6877364
97,145,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT16,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078125,SRR6877362
98,146,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT17,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078127,SRR6877360
99,147,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT18,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078119,SRR6877368
100,148,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT20,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078149,SRR6877337
101,149,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT21,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078152,SRR6877335
102,150,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT22,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078153,SRR6877333
103,151,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT23,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078154,SRR6877331
104,152,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT24,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078143,SRR6877343
105,152,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT24,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078157,SRR6877329
106,153,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT25,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078140,SRR6877347
107,153,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT25,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078142,SRR6877345
108,154,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT26,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078144,SRR6877341
109,154,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT26,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078138,SRR6877349
110,155,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT27,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078094,SRR6877394
111,156,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT28,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078090,SRR6877398
112,156,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT28,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078092,SRR6877396
113,157,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT29,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078086,SRR6877402
114,157,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT29,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078088,SRR6877400
115,158,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT30,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078190,SRR6877295
116,159,Mann2018,2018,10.1038/s41598-018-28091-9,Kilteasheen,54.005,-8.201,Ireland,KT31,Homo sapiens,1000,10.1038/s41598-018-28091-9,skeletal tissue,tooth,,SRA,PRJNA445215,SRS3078188,SRR6877299
