Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,Library Name,BioSampleModel,geo_loc_name_country,geo_loc_name_country_continent,Collection_Date,lat_lon,geo_loc_name,sex,Host,Isolate,Ethnicity,AGE,Biomaterial_provider,SAMPLE_TYPE,tissue,health_state,cell_line,cell_subtype,cell_type,culture_collection,dev_stage,disease,disease_stage,karyotype,Library,PHENOTYPE,Population,RACE,env_biome,env_feature,samp_size,env_material,Isolation_source,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Alias,ENA_CHECKLIST,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Name,SRA_accession,title,Depth,geographic_location_(country_and/or_sea),INSDC_center_alias,Investigation_type,project_name,Description,INSTRUMENT_MODEL,library_layout,library_source,misc_param,platform,processing_location (run),Source_material_ID,environment_(biome),environment_(feature),environment_(material),geographic_location_(latitude),geographic_location_(longitude),Sequencing_method,host_sex,samp_collect_device,geographic_location_(elevation),soil_environmental_package,BIOME,Ammonium_Nitrogen,Boron_Hot_CaCl2,colour,Conductivity,Crop_rotation_1yr_since_present,Crop_rotation_2yrs_since_present,Crop_rotation_3yrs_since_present,Crop_rotation_4yrs_since_present,Crop_rotation_5yrs_since_present,current_land_use,Date_since_change_in_Land_Use,DTPA_Copper,DTPA_Iron,DTPA_Manganese,DTPA_Zinc,Env_package,Exc_Aluminium,Exc_Calcium,Exc_Magnesium,Exc_Potassium,Exc_Sodium,feature,fire_intensity_if_known,Gravel_(_>2.0_mm),history/agrochemical_additions,history/extreme_events,history/flooding,history/previous_land_use,host_subject_id,links_to_additional_analysis,material,Nitrate_Nitrogen,Other_comments,pH_Level_(CaCl2),pH_Level_(H2O),Phosphorus_Colwell,Potassium_Colwell,profile_position_(BASE),Sample_ID,slope_aspect,slope_gradient,soil_taxonomic/FAO_classification,soil_taxonomic/local_classification,Sulphur,texture,tillage,total_organic_carbon,Vegetation_Dom_Grasses,Vegetation_Dom_Shrubs,Vegetation_Dom_Trees,Vegetation_Total_cover,water_content_of_soil,history/fire,Host_disease,body_site,Clay_(<2_µm),Course_Sand_(200-2000_µm)
SRR1952567,WGS,PRJNA275349,SAMN03351598,JCVI,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX978494,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2015-04-09T00:00:00Z,700161427_zo7_G_DNA_Supragingival_plaque,SRP056641,202,6555693254,2814839613,700161427_zo7_G_DNA_Supragingival_plaque,Metagenome or environmental,uncalculated,uncalculated,missing,missing,missing,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,ORAL,,,,,,,,,,,,,,,,,,,,,,,,195044680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700161427_zo7_G_DNA_Supragingival_plaque,,,,,,,,,,,,,,,,,,
SRR1952623,WGS,PRJNA275349,SAMN03351593,JCVI,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX978550,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human metagenome,ILLUMINA,2015-04-09T00:00:00Z,700161335_zo7_G_DNA_Supragingival_plaque,SRP056641,202,8581803754,3639709186,700161335_zo7_G_DNA_Supragingival_plaque,Metagenome or environmental,uncalculated,uncalculated,missing,missing,missing,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,ORAL,,,,,,,,,,,,,,,,,,,,,,,,366487741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700161335_zo7_G_DNA_Supragingival_plaque,,,,,,,,,,,,,,,,,,
SRR1950689,WGS,PRJNA277905,SAMN03398503,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976938,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBS009,SRP056821,200,1837336400,773160108,WBS009,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WBS009,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1950701,WGS,PRJNA277905,SAMN03398515,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976950,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WOS012,SRP056821,200,1209436200,543056996,WOS012,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WOS012,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1950711,WGS,PRJNA277905,SAMN03398525,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976960,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WOS019,SRP056821,200,1593319200,700195364,WOS019,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WOS019,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1950729,WGS,PRJNA277905,SAMN03398543,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976978,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBU007,SRP056821,200,1140531400,476435789,WBU007,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WBU007,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1950730,WGS,PRJNA277905,SAMN03398544,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976979,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBU008,SRP056821,200,690165200,290837297,WBU008,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WBU008,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1950731,WGS,PRJNA277905,SAMN03398545,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976980,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBU009,SRP056821,200,1017848400,433010551,WBU009,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WBU009,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1950749,WGS,PRJNA277905,SAMN03398563,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX976998,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBE013,SRP056821,200,1855830400,1256637507,WBE013,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WBE013,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1950758,WGS,PRJNA277905,SAMN03398572,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX977007,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBE027,SRP056821,200,1480034200,625930838,WBE027,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WBE027,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1950762,WGS,PRJNA277905,SAMN03398576,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX977011,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBE031,SRP056821,200,1106487400,472222471,WBE031,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WBE031,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1950776,WGS,PRJNA277905,SAMN03398590,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX977025,Illumina HiSeq 2000,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2016-03-26T00:00:00Z,WBE047,SRP056821,200,1528614000,646240478,WBE047,Metagenome or environmental,uncalculated,uncalculated,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,,not applicable,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,WBE047,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1923770,AMPLICON,PRJNA278873,SAMN03433816,INDIANA UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX963821,454 GS FLX Titanium,SINGLE,PCR,METAGENOMIC,human skin metagenome,LS454,2015-03-23T00:00:00Z,s1r2.39B,SRP056364,426,1217867,696165,WCS,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",USA,North America,2013-01-23,39.7910 N 86.1480 W,USA,,Homo sapiens,,,,,,,,,,,,,,,,,,,,deltoid,microbiome,,swab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
